pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
1.345556,38.216583,1.345556,44.456916,1.345556,32.606676,1.000000
1.614667,38.149720,1.614667,44.432228,1.614667,32.291904,1.000000
1.883778,38.075950,1.883778,44.419884,1.883778,31.983304,1.000000
2.152889,37.994832,2.152889,44.413712,2.152889,31.693220,1.000000
2.422000,37.905779,2.422000,44.419884,2.422000,31.415480,1.000000
2.691111,37.808349,2.691111,44.419884,2.691111,31.143912,1.000000
2.960222,37.701956,2.960222,44.419884,2.960222,30.890860,1.000000
3.229333,37.586010,3.229333,44.407540,3.229333,30.650152,1.000000
3.498444,37.460072,3.498444,44.382852,3.498444,30.415616,1.000000
3.767556,37.323554,3.767556,44.339648,3.767556,30.193424,1.000000
4.036667,37.176013,4.036667,44.277928,4.036667,29.977404,1.000000
4.305778,37.017011,4.305778,44.185348,4.305778,29.779900,1.000000
4.574889,36.846399,4.574889,44.068080,4.574889,29.588568,1.000000
4.844000,36.672114,4.844000,43.919952,4.844000,29.403408,1.000000
5.113111,36.494007,5.113111,43.740964,5.113111,29.230592,1.000000
5.382222,36.311639,5.382222,43.531116,5.382222,29.063948,1.000000
5.651333,36.125010,5.651333,43.290408,5.651333,28.903476,1.000000
5.920444,35.934707,5.920444,43.018840,5.920444,28.755348,1.000000
6.189556,35.740729,6.189556,42.722584,6.189556,28.607220,1.000000
6.458667,35.543813,6.458667,42.395468,6.458667,28.471436,1.000000
6.727778,35.344693,6.727778,42.043664,6.727778,28.341824,1.000000
6.996889,35.144103,6.996889,41.679516,6.996889,28.218384,1.000000
7.266000,34.942631,7.266000,41.309196,7.266000,28.094944,1.000000
7.535111,34.741159,7.535111,40.938876,7.535111,27.983848,1.000000
7.804222,34.540569,7.804222,40.574728,7.804222,27.872752,1.000000
8.073333,34.341743,8.073333,40.222924,8.073333,27.774000,1.000000
8.342444,34.145414,8.342444,39.895808,8.342444,27.675248,1.000000
8.611556,33.952466,8.611556,39.587208,8.611556,27.576496,1.000000
8.880667,33.764073,8.880667,39.303296,8.880667,27.483916,1.000000
9.149778,33.580676,9.149778,39.037900,9.149778,27.397508,1.000000
9.418889,33.403599,9.418889,38.797192,9.418889,27.311100,1.000000
9.688000,33.233575,9.688000,38.562656,9.688000,27.230864,1.000000
9.957111,33.071486,9.957111,38.352808,9.957111,27.150628,1.000000
10.226222,32.917921,10.226222,38.155304,10.226222,27.076564,1.000000
10.495333,32.773467,10.495333,37.970144,10.495333,27.002500,1.000000
10.764444,32.638418,10.764444,37.797328,10.764444,26.928436,1.000000
11.033556,32.513214,11.033556,37.630684,11.033556,26.860544,1.000000
11.302667,32.397710,11.302667,37.482556,11.302667,26.798824,1.000000
11.571778,32.291610,11.571778,37.334428,11.571778,26.737104,1.000000
11.840889,32.195062,11.840889,37.204816,11.840889,26.687728,1.000000
12.110000,32.107479,12.110000,37.081376,12.110000,26.644524,1.000000
12.379111,32.028712,12.379111,36.964108,12.379111,26.613664,1.000000
12.648222,31.958322,12.648222,36.859184,12.648222,26.588976,1.000000
12.917333,31.896308,12.917333,36.766604,12.917333,26.570460,1.000000
13.186444,31.842230,13.186444,36.680196,13.186444,26.570460,1.000000
13.455556,31.795499,13.455556,36.606132,13.455556,26.582804,1.000000
13.724667,31.755969,13.724667,36.538240,13.724667,26.607492,1.000000
13.993778,31.723345,13.993778,36.476520,13.993778,26.638352,1.000000
14.262889,31.697188,14.262889,36.427144,14.262889,26.681556,1.000000
14.532000,31.676761,14.532000,36.383940,14.532000,26.724760,1.000000
14.801111,31.661772,14.801111,36.346908,14.801111,26.780308,1.000000
15.070222,31.651339,15.070222,36.316048,15.070222,26.835856,1.000000
15.339333,31.645020,15.339333,36.297532,15.339333,26.891404,1.000000
15.608444,31.642228,15.608444,36.279016,15.608444,26.953124,1.000000
15.877556,31.642228,15.877556,36.260500,15.877556,27.008672,1.000000
16.146667,31.644579,16.146667,36.254328,16.146667,27.058048,1.000000
16.415778,31.648253,16.415778,36.248156,16.415778,27.107424,1.000000
16.684889,31.652661,16.684889,36.241984,16.684889,27.150628,1.000000
16.954000,31.657070,16.954000,36.241984,16.954000,27.181488,1.000000
17.223111,31.661184,17.223111,36.235812,17.223111,27.206176,1.000000
17.492222,31.664270,17.492222,36.235812,17.492222,27.218520,1.000000
17.761333,31.666181,17.761333,36.235812,17.761333,27.224692,1.000000
18.030444,31.666328,18.030444,36.235812,18.030444,27.224692,1.000000
18.299556,31.664417,18.299556,36.229640,18.299556,27.218520,1.000000
18.568667,31.660303,18.568667,36.229640,18.568667,27.206176,1.000000
18.837778,31.653396,18.837778,36.217296,18.837778,27.187660,1.000000
19.106889,31.644138,19.106889,36.211124,19.106889,27.162972,1.000000
19.376000,31.632235,19.376000,36.198780,19.376000,27.132112,1.000000
19.645111,31.617833,19.645111,36.186436,19.645111,27.101252,1.000000
19.914222,31.600934,19.914222,36.174092,19.914222,27.064220,1.000000
20.183333,31.581830,20.183333,36.161748,20.183333,27.027188,1.000000
20.452444,31.560669,20.452444,36.143232,20.452444,26.990156,1.000000
20.721556,31.537891,20.721556,36.118544,20.721556,26.953124,1.000000
20.990667,31.513644,20.990667,36.100028,20.990667,26.916092,1.000000
21.259778,31.488074,21.259778,36.069168,21.259778,26.872888,1.000000
21.528889,31.461476,21.528889,36.044480,21.528889,26.835856,1.000000
21.798000,31.433849,21.798000,36.013620,21.798000,26.798824,1.000000
22.067111,31.405781,22.067111,35.982760,22.067111,26.767964,1.000000
22.336222,31.377125,22.336222,35.945728,22.336222,26.737104,1.000000
22.605333,31.348323,22.605333,35.908696,22.605333,26.712416,1.000000
22.874444,31.319373,22.874444,35.865492,22.874444,26.687728,1.000000
23.143556,31.290424,23.143556,35.822288,23.143556,26.675384,1.000000
23.412667,31.261474,23.412667,35.779084,23.412667,26.663040,1.000000
23.681778,31.232818,23.681778,35.729708,23.681778,26.656868,1.000000
23.950889,31.204456,23.950889,35.680332,23.950889,26.650696,1.000000
24.220000,31.176242,24.220000,35.624784,24.220000,26.650696,1.000000
24.489111,31.148614,24.489111,35.575408,24.489111,26.650696,1.000000
24.758222,31.121281,24.758222,35.519860,24.758222,26.650696,1.000000
25.027333,31.094536,25.027333,35.464312,25.027333,26.656868,1.000000
25.296444,31.067938,25.296444,35.408764,25.296444,26.663040,1.000000
25.565556,31.041927,25.565556,35.353216,25.565556,26.669212,1.000000
25.834667,31.016063,25.834667,35.297668,25.834667,26.675384,1.000000
26.103778,30.990788,26.103778,35.248292,26.103778,26.681556,1.000000
